expNum,age,gender,ingroupNorm,bothShown,ingroupFirst,response,rating,understandingCheckResponse,understandingCheckOrder,responseTime,understandingCheckTime,elapsedTime,utcTime,RepublicanRating,DemocraticRating,topIssue,topIssueRating,identityIngroupResponse,identityOutgroupResponse,ingroupAgree,outgroupDisagree
Exp 1,55,male,0,1,0,1,0,1,4231,25.12,25.153,133.365,"Sun, 25 Mar 2018 23:55:37 GMT",NA,NA,0,2,7,1,1,1
Exp 1,23,male,0,1,1,6,1,1,1423,27.985,20.706,123.784,"Sun, 25 Mar 2018 23:48:51 GMT",NA,NA,3,9,5,3,1,1
Exp 1,23,female,0,1,1,5,0,1,4123,53.016,32.602,188.742,"Sun, 25 Mar 2018 23:29:23 GMT",NA,NA,3,10,4,2,0,1
Exp 1,25,female,1,1,0,1,0,1,4231,28.356,18.463,109.784,"Sun, 25 Mar 2018 23:27:12 GMT",NA,NA,0,0,7,1,1,1
Exp 1,43,male,0,1,0,1,2,3,2413,10.68,11.744,94.164,"Mon, 26 Mar 2018 00:20:34 GMT",NA,NA,3,6,7,5,1,0
Exp 1,29,male,0,0,0,6,0,1,1234,33.265,24.61,158.937,"Sun, 25 Mar 2018 23:44:08 GMT",NA,NA,0,7,1,4,0,0
Exp 1,38,female,1,1,0,6,3,1,2431,28.472,50.072,508.334,"Sun, 25 Mar 2018 23:50:33 GMT",NA,NA,3,10,5,1,1,1
Exp 1,23,female,0,1,0,3,-1,1,4132,28.906,58.454,157.292,"Sun, 25 Mar 2018 23:27:26 GMT",NA,NA,0,7,5,6,1,0
Exp 1,47,female,0,0,0,4,1,1,2341,33.066,18.298,134.804,"Mon, 26 Mar 2018 00:14:03 GMT",NA,NA,0,8,6,2,1,1
Exp 1,25,female,1,1,1,4,-1,1,4213,36.03,17.593,126.548,"Mon, 26 Mar 2018 00:06:38 GMT",NA,NA,2,0,6,2,1,1
Exp 1,37,female,0,0,0,1,0,1,3124,18.96,12.849,92.127,"Mon, 26 Mar 2018 00:17:32 GMT",NA,NA,0,10,4,1,0,1
Exp 1,61,female,0,0,0,1,-1,1,4312,20.901,21.179,141.834,"Sun, 25 Mar 2018 23:44:09 GMT",NA,NA,2,0,2,2,0,1
Exp 1,56,male,1,1,0,4,2,1,1324,53.65,22.43,183.362,"Mon, 26 Mar 2018 00:22:57 GMT",NA,NA,2,0,7,1,1,1
Exp 1,30,female,1,1,0,4,-1,1,4312,34.496,17.666,150.463,"Sun, 25 Mar 2018 23:53:38 GMT",NA,NA,0,9,6,1,1,1
Exp 1,40,female,0,1,0,1,3,1,2341,33.096,46.306,193.491,"Mon, 26 Mar 2018 00:15:35 GMT",NA,NA,2,4,4,1,0,1
Exp 1,29,male,0,1,1,1,0,1,4132,20.108,9.787,68.408,"Sun, 25 Mar 2018 22:33:29 GMT",NA,NA,3,10,7,1,1,1
Exp 1,30,male,0,1,0,6,1,1,4213,29.148,43.643,147.848,"Sun, 25 Mar 2018 23:40:39 GMT",NA,NA,0,7,2,5,0,0
Exp 1,25,male,1,0,0,6,2,1,3412,30.293,19.422,447.828,"Sun, 25 Mar 2018 23:37:26 GMT",NA,NA,0,10,6,2,1,1
Exp 1,50,male,1,1,1,2,2,1,4321,38.47,16.781,254.131,"Sun, 25 Mar 2018 23:33:55 GMT",NA,NA,8,0,6,2,1,1
Exp 1,22,male,0,0,0,5,0,1,3214,78.185,33.398,204.631,"Sun, 25 Mar 2018 23:57:56 GMT",NA,NA,5,10,7,1,1,1
Exp 1,31,male,0,1,1,1,-1,1,4123,10.704,11.218,61.767,"Mon, 26 Mar 2018 02:01:25 GMT",NA,NA,5,7,6,3,1,1
Exp 1,43,female,1,1,0,2,2,1,1234,36.444,27.143,148.005,"Mon, 26 Mar 2018 00:26:34 GMT",NA,NA,0,0,6,2,1,1
Exp 1,41,male,0,1,1,3,1,1,3142,22.009,17.209,89.406,"Mon, 26 Mar 2018 00:12:45 GMT",NA,NA,5,8,6,2,1,1
Exp 1,64,male,0,0,0,6,0,1,4213,31.91,26.156,138.692,"Sun, 25 Mar 2018 23:58:55 GMT",NA,NA,8,10,7,1,1,1
Exp 1,28,female,1,0,0,3,0,1,4312,6.19,16.977,64.268,"Sun, 25 Mar 2018 23:26:41 GMT",NA,NA,5,10,5,5,1,0
Exp 1,31,male,0,1,1,4,0,1,2341,48.13,23.334,234.24,"Sun, 25 Mar 2018 23:36:22 GMT",NA,NA,5,7,6,2,1,1
Exp 1,35,male,0,0,0,1,2,1,4321,23.94,20.094,93.228,"Mon, 26 Mar 2018 00:02:55 GMT",NA,NA,3,10,7,1,1,1
Exp 1,45,female,0,0,0,1,3,1,1243,14.329,15.465,92.479,"Sun, 25 Mar 2018 23:35:26 GMT",NA,NA,8,10,7,1,1,1
Exp 1,60,male,1,1,0,2,0,1,1234,15.251,10.359,99.047,"Sun, 25 Mar 2018 23:43:38 GMT",NA,NA,2,0,7,1,1,1
Exp 1,22,male,0,1,1,3,-1,1,3421,14.978,18.013,90.766,"Mon, 26 Mar 2018 00:27:59 GMT",NA,NA,5,10,7,7,1,0
Exp 1,66,female,1,1,1,2,-1,1,2413,52.998,27.486,223.644,"Mon, 26 Mar 2018 00:08:23 GMT",NA,NA,3,10,6,2,1,1
Exp 1,54,female,1,1,1,5,2,1,3241,15.2,12.198,82.811,"Sun, 25 Mar 2018 23:39:18 GMT",NA,NA,2,0,1,1,0,1
Exp 1,45,female,1,0,0,4,-1,1,1423,29.243,20.098,111.386,"Sun, 25 Mar 2018 23:27:35 GMT",NA,NA,3,0,7,1,1,1
Exp 1,54,female,0,1,1,1,3,1,1324,23.233,81.94,207.531,"Sun, 25 Mar 2018 23:37:29 GMT",NA,NA,0,0,7,1,1,1
Exp 1,45,male,1,1,1,4,0,3,2143,69.546,121.272,274.247,"Sun, 25 Mar 2018 23:30:46 GMT",NA,NA,8,0,7,1,1,1
Exp 1,39,female,0,0,0,4,1,1,2134,13.692,15.957,82.331,"Sun, 25 Mar 2018 23:47:37 GMT",NA,NA,0,0,7,1,1,1
Exp 1,35,male,1,0,0,4,1,1,3142,33.475,18.325,115.485,"Sun, 25 Mar 2018 22:34:30 GMT",NA,NA,5,10,7,1,1,1
Exp 1,59,female,1,1,0,6,3,1,2431,31.769,19.593,183.565,"Sun, 25 Mar 2018 23:57:36 GMT",NA,NA,0,7,5,3,1,1
Exp 1,32,male,0,1,0,1,3,1,4231,19.343,16.975,73.601,"Mon, 26 Mar 2018 00:11:14 GMT",NA,NA,3,0,3,3,0,1
Exp 1,65,female,1,0,0,5,2,1,3241,20.948,16.722,97.276,"Mon, 26 Mar 2018 00:04:14 GMT",NA,NA,7,10,7,1,1,1
Exp 1,26,male,0,1,0,1,-2,1,1423,7.968,31.482,79.194,"Sun, 25 Mar 2018 22:33:10 GMT",NA,NA,4,9,7,7,1,0
Exp 1,39,male,1,1,1,4,1,1,1234,30.819,14.583,154.47,"Sun, 25 Mar 2018 23:54:14 GMT",NA,NA,3,0,5,3,1,1
Exp 1,38,female,0,1,0,4,-1,1,1234,27.4,13.672,138.121,"Sun, 25 Mar 2018 23:34:40 GMT",NA,NA,3,10,7,3,1,1
Exp 1,35,female,1,0,0,2,-1,1,4312,24.655,44.541,185.543,"Sun, 25 Mar 2018 23:25:30 GMT",NA,NA,4,8,3,5,0,0
